timestamp,date_GMT,status,attendance,home_team_name,away_team_name,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1567258200,Aug 31 2019 - 1:30pm,complete,23750,Wolfsburg,Paderborn,3.00,0.00,1.38,0.75,1,1,2,1,0,1,"56","12",8,3,0,0,3,0,18,11,5,5,13,6,8,14,62,38,4.00,100,100,100,50,50,50,100,8.00,1.00,1.49,4.90,6.55,1.11,1.38,2.00,3.20,1.50,2.40,VOLKSWAGEN ARENA (Wolfsburg)
1567269000,Aug 31 2019 - 4:30pm,complete,22012,Union Berlin,Borussia Dortmund,0.00,3.00,1.58,1.62,3,1,4,2,1,1,"22,50,75","25",7,4,0,0,0,0,14,17,6,4,8,13,13,2,31,69,4.00,50,100,100,100,0,50,100,11.00,2.00,8.75,5.55,1.36,1.13,1.47,2.15,3.65,1.71,2.00,Stadion An der Alten Försterei (Berlin)
1567344600,Sep 1 2019 - 1:30pm,complete,40041,Werder Bremen,Augsburg,0.00,0.00,0.45,0.69,3,2,5,3,2,1,"6,21,67","12,46",4,2,1,0,3,1,16,14,6,7,10,7,9,11,62,38,5.00,100,100,100,100,50,50,100,14.00,0.00,1.71,4.05,4.90,1.17,1.57,2.45,4.30,1.59,2.20,wohninvest WESERSTADION (Bremen)
1567353600,Sep 1 2019 - 4:00pm,complete,49800,Eintracht Frankfurt,Fortuna Düsseldorf,3.00,3.00,1.75,0.77,2,1,3,1,0,1,"57,86","36",4,1,2,0,4,0,16,15,9,5,7,10,12,15,58,42,2.50,50,50,50,50,0,0,100,15.00,5.00,1.71,4.15,4.95,1.16,1.56,2.40,4.15,1.56,2.25,Commerzbank-Arena (Frankfurt am Main)
1568399400,Sep 13 2019 - 6:30pm,complete,36758,Fortuna Düsseldorf,Wolfsburg,0.00,3.00,1.00,1.50,1,1,2,2,1,1,"16","29",3,8,0,0,2,0,14,17,4,7,10,10,8,14,47,53,3.50,50,100,100,50,0,50,100,6.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Merkur Spiel-Arena (Düsseldorf)
1568467800,Sep 14 2019 - 1:30pm,complete,81365,Borussia Dortmund,Bayer Leverkusen,3.00,3.00,2.50,1.83,4,0,4,1,1,0,"28,50,83,90","",3,3,0,0,3,0,12,14,9,4,3,10,10,13,39,61,5.00,100,100,100,100,50,100,100,15.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Signal-Iduna-Park (Dortmund)
1568467800,Sep 14 2019 - 1:30pm,complete,22798,Mainz 05,Hertha BSC,0.00,0.50,1.08,1.33,2,1,3,1,1,0,"40,88","83",6,3,2,0,2,0,14,16,8,9,6,7,16,11,50,50,3.75,75,100,100,75,0,75,100,4.50,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,OPEL ARENA (Mainz)
1568467800,Sep 14 2019 - 1:30pm,complete,50000,Köln,Borussia M'gladbach,0.00,3.00,1.58,1.67,0,1,1,1,0,1,"","14",4,7,2,0,2,0,14,16,7,5,7,11,21,18,51,49,4.00,100,100,100,100,0,50,100,12.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RheinEnergieStadion (Köln)
1568467800,Sep 14 2019 - 1:30pm,complete,28513,Augsburg,Eintracht Frankfurt,1.00,0.00,1.50,0.58,2,1,3,2,2,0,"35,43","73",2,11,2,0,1,0,8,23,6,4,2,19,8,8,31,69,2.50,100,100,50,0,0,0,50,4.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,WWK Arena (Augsburg)
1568467800,Sep 14 2019 - 1:30pm,complete,22012,Union Berlin,Werder Bremen,1.50,0.00,1.58,1.00,1,2,3,2,1,1,"14","5,55",7,4,2,1,3,1,15,16,8,6,7,10,21,11,43,57,4.50,75,100,100,100,50,50,100,11.00,5.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion An der Alten Försterei (Berlin)
